DisasterID,Type,Name,Alias,Locations,Crops,GrowingStages,Severity,CommonImpactonYield,MaxImpactonYield,PreventionorRemedy,IndvidualorGroup,ImpactedArea,Color,Shape,discription
11,1,水稻恶苗病,水稻徒长病,1，2，3,水稻,4~7，9~14,XXX,0.1,0.4,3,1,1，2，3，4，6,,纤细、瘦弱，叶鞘拉长，叶片较窄，根系发育不良,
12,1,水稻纹枯病,水稻云斑病、水稻云纹病；俗称花秆、花脚瘟,1，2，3,水稻,10~15,XXXXX,10％～30％,>50%,3,,4,边缘暗绿色，中央灰绿色,小斑点-椭圆形，似云纹状，常多个病斑融合成大斑纹,
13,1,水稻白叶枯病,着风，过火风，白叶瘟等,1，2，3,水稻,1~20,XXXX,20％～30％,0.5,3,,4,初现黄绿色或暗绿色斑点，后沿叶脉迅速向下纵横扩展成条斑，可达叶片基部和整个叶片,波纹状(梗稻品种)或直线状(籼稻品种),
14,1,水稻烂秧,水稻烂种，水稻烂芽，水稻死苗,1，2，3,水稻,4~7,XXX,,,3,1,1，3，4,黄褐色,由叶尖向叶基逐渐变黄，向上部叶片蔓延至心叶,
15,1,水稻霜霉病,水稻黄化萎缩病,1，2，3,水稻,5~20,XXX,,>40%,3,1,4，5，6,叶片淡绿并呈斑纹花叶状，斑点黄白色,"圆形或椭圆形，排列不规则。卷曲状，抽出的穗小，扭曲畸形，形成秕谷。叶片卷曲状,短宽而肥厚。",
16,1,细菌性条斑病,水稻细条病、水稻条斑病,2，3,水稻,4~14,XXX,15％～25％,40％～60％,,,4,暗绿色至黄褐色，呈油渍状半透明,纤细条斑，大小(0.5～1)mm×(3～5)mm,
17,1,水稻苗疫病,,2，3,水稻,4~8,XX,,,,,4，6,,,
18,1,稻瘟病,稻热病；火烧瘟；吊颈瘟；叩头瘟,1，2，3,水稻,9~16,XXXXX,10％～20％,30％～40％,3,,2，3，4，5，6，7,边缘褐色，中间灰白色，外围有黄色晕圈，潮湿时背面常有灰绿色霉层,梭型；暗绿色近圆至椭圆形,
19,1,稻曲病,稻伪黑穗病、稻绿黑穗病、稻谷花病、稻青粉病，俗称丰产病、丰收果,2，3,水稻,14~20,XXXX,,20％～30％,3,,5，6,"淡黄绿色块状,后发展至墨绿色或橄榄色",,
20,1,水稻胡麻斑病,水稻胡麻叶枯病,1，2，3,水稻,1~20,XXX,0.1,>30%,3,,2，3，4，5,病斑中央为褐色至灰白色，边缘褐色,芝麻粒大小的病斑，多为椭圆形病斑,
21,1,水稻叶鞘腐败病,水稻鞘腐病,2，3,水稻,4~20,XXX,,>20%,,,3，4，5,褐色,初为暗褐色小斑，边缘模糊，后形成云纹状病斑,
22,1,稻粒黑粉病,稻墨黑穗病、稻黑穗病，俗称乌谷、黑粉谷,2，3,水稻,14~20,XXXX,10％～20％,>50%,3,,6,颖间自然开裂，露出黑色粒状物或现出红色或白色舌状物，颖壳粘附黑色粉末,,
23,1,水稻细菌性褐斑病,水稻细菌性鞘腐病,1，2,水稻,5~20,XXXX,,,,,3，4，5，6,褐色水渍状小斑点，赤褐色，灰褐色,纺锤形、长椭圆形或不规则形条斑,
24,1,水稻茎线虫病,,2，3,水稻,5~20,XXXX,0.3,0.5,1,,2，3，4,叶面出现浅绿色斑点,叶缘卷缩。叶尖弯曲，整张叶片扭曲或呈畸形，严重时花穗捻转或包在叶鞘内不能抽出.小穗不孕，形成空粒。,
25,1,水稻条纹叶枯病,,2，3,水稻,5~20,XXX,3％～5％,20％～30％,1,,3，4,黄绿色或黄白色,断续的短条斑，心叶细长、柔软并卷曲成纸捻状，弯曲下垂而形成“假枯心”,
26,1,水稻黑条矮缩病,矮稻,2，3,水稻,5~20,XXX,,0.5,1,,2，3，4，5，7,褐色条斑枯死,心叶短、厚、蜡质状，直立，叶边缘有缺刻，完全抽出的叶片叶脉有少量弯曲，主脉近叶鞘处扭曲严重。,
