SolutionID,Title,Providedby,Description,Crop,disease,GrowingStageID,CPPProductSolution,ranking,,本表中solution标注对应农药ID，并且在CPP库中标注防治方法对应农药,,,,,,,,,,,,,,,,,,
,种子处理,,浸种药剂可选用：用25％施宝克5000倍液浸种。浸种60小时后不必淘洗，即可催芽播种。,水稻,水稻恶苗病,1,1,2,PD20030004,PD20080001,,,,,,,,,,,,,,,,,,
,农业防治,,选用抗病品种和无病种子。,水稻,水稻恶苗病,1,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,采取小苗带土移栽。实行轮作倒茬，杜绝带病残体入田，发现病株及时拔除并集中烧毁或深埋。带病稻草应及早作燃料烧掉，或堆沤肥料，充分腐熟后才能施用。严禁用病稻草催芽、扎秧把、覆盖秧床，也不要将病稻草堆放在水稻田边。,水稻,水稻恶苗病,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,采用适氮、高钾的肥水管理方法。,水稻,水稻恶苗病,,0,5,,,,,,,,,,,,,,,,,,,,
,药剂防治,,在旱育秧的秧苗针叶期，用25％咪鲜胺乳油1500倍液喷雾。田间发现病株后，每亩用25％施宝克乳油4毫升对水喷雾。在制种田，母本齐穗至始花期每亩用25％咪鲜胺乳油7毫升加25％三唑酮乳油3毫升，对水50kg喷雾。,水稻,水稻恶苗病,3~7,1,1,PD20110160,PD20030004,PD20080001,PD20040570,,,,,,,,,,,,,,,,
,农业防治,,春耕灌水耙田时，捞去浪渣浮沫带出田外烧毁或深埋。及时铲除田边和田间杂草。施足基肥，早施追肥，避免偏施氮肥，增施磷钾肥。,水稻,水稻纹枯病,1,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,分蘖期浅灌，中耕后适当灌水，分蘖盛期后及时晒田，孕穗后实行干干湿湿的管水原则。,水稻,水稻纹枯病,9~12,0,5,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,于抽穗前20天或发病初期施放稻康瑞，配药前务必充分摇匀，一般亩用量20毫升兑水30公斤后搅拌均匀常规喷雾，施药一次。纹枯病发病严重时，适当提高亩用药量至22.5毫升兑水45公斤，或在穗期再施药一次。大风或预计1小时内降雨，请勿施药。,水稻,水稻纹枯病,9~12，14~19,1,1,PD20142375,,,,,,,,,,,,,,,,,,,
,药剂防治-苗期,,水稻栽后15～20天，喷施丙环唑乳油20-40毫升/亩，或苯醚甲环唑悬浮剂15-20毫升/亩，或己唑醇悬浮剂13-17毫升/亩，或戊唑醇悬浮剂10-15毫升/亩，或氟环唑悬浮剂20-22.5毫升/亩。,水稻,水稻纹枯病,9~12,1,2,PD20030013,PD20081449,PD20070412,PD20131317,PD20110718,PD20121295,PD20131494,PD20132295,PD20141725,PD20140448,PD20102024,PD20120548,PD20121708,PD20110295,PD20121848,PD20070365,PD20142177,LS20140119,PD20131832,PD20141510
,药剂防治-穗期,,孕穗期和齐穗期喷施5％井冈霉素水剂500倍液，隔10～15天后再喷1次。还可以选用70%甲基硫菌灵可湿性粉剂，用量为70～100克/亩。,水稻,水稻纹枯病,14~19,1,3,PD20130887,PD20085507,PD139-91,PD20082106,,,,,,,,,,,,,,,,
,检疫,,无病区不从病区引种，防止种子带菌传播。,水稻,水稻白叶枯病,1,0,4,,,,,,,,,,,,,,,,,,,,
,种子处理,,使用80％402（乙蒜素）抗菌剂2000倍液浸种48～92小时，还可用20％噻枯唑可湿性粉剂500～600倍液浸种24～48小时。,水稻,水稻白叶枯病,1,1,2,PD20101350,PD20101593,,,,,,,,,,,,,,,,,,
,农业防治,,加强农田基本建设，提高农田排灌能力。在水稻分蘖末期适当晾田，浅湿管理，防止大水串灌、漫灌和长期深灌，防止水淹。避免偏施氮肥，适当增施磷、钾肥，提高植株抗病力。,水稻,水稻白叶枯病,12,0,4,,,,,,,,,,,,,,,,,,,,
,栽培因素,,因地制宜地选用抗病品种。采取旱育苗技术，培育壮秧，提高秧苗抗性。,水稻,水稻白叶枯病,7~12,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,,常用的药剂有每亩用50%氯溴异氰尿酸可湿性粉剂15～25克，或20%噻菌铜悬浮剂20～26克，或45%代森铵水剂23克喷雾。,水稻,水稻白叶枯病,6~8,1,1,PD20086024,PD84119-9,PD20100887,PD20095663,PD86153-8,,,,,,,,,,,,,,,
,种子处理,,每千克种子用350克/升精甲霜灵种子处理乳剂5.25～8.75克/100千克拌种；或每千克种子用58.3～87.5毫克浸种，或用80%乙蒜素乳油6000～8000倍液浸种。,水稻,水稻烂秧,1,1,2,PD20070474F040019,PD20101350,PD20101593,,,,,,,,,,,,,,,,,
,农业防治,,改进育秧方式，因地制宜采用旱育秧稀植技术，或采用薄膜覆盖育秧。秧田应选在肥力中等，排灌方便，地势较高的平整田块。精选种子，浸种前晒种1～2天。芽期保持畦面湿润，不能过早上水。在有暴风雨、冰雹或霜冻时，短时间灌水护芽。秧田施足基肥，追肥少量多次，提高磷钾肥的比例。,水稻,水稻烂秧,1~7,0,3,,,,,,,,,,,,,,,,,,,,
,土壤消毒,,播种后，每平方米秧田用噁霉灵1～1.5克与过筛的湿润细土10～20千克充分拌匀，均匀撒于秧田上。,水稻,水稻烂秧,1,1,1,PD104-89,PD20121909,PD20097917,,,,,,,,,,,,,,,,,
,种子处理,,用0.1％硫酸铜溶液浸种6～8小时。,水稻,水稻霜霉病,1,1,2,PD268-99,,,,,,,,,,,,,,,,,,,
,农业防治,,水旱轮作。选用地势较高的田块做秧田。增施有机肥，部不施氮肥。避免秧田及本田灌深水。,水稻,水稻霜霉病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,发现病株，及时拔除，控制病害蔓延。,水稻,水稻霜霉病,,0,4,,,,,,,,,,,,,,,,,,,,
,田间施药,,发病初期喷洒精甲霜灵可湿性粉剂4000-6000倍液，或百菌清100-126.7克/亩。每隔5～7天喷一次，连续2～3次。,水稻,水稻霜霉病,4~7,1,1,PD85122-14,PD86180-4,PD20070474F040019,,,,,,,,,,,,,,,,,
,检疫,,严格实行植物检疫制度，无病区不从病区调种。病区应建立无病留种田，严格控制带菌种子外调，防止病种传播。,水稻,细菌性条斑病,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,晚稻收获后，把收割后的稻草、田边杂草集中进行烧毁，消灭病菌。,水稻,细菌性条斑病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,病害常发区选用抗病、耐病品种。,水稻,细菌性条斑病,1,0,2,,,,,,,,,,,,,,,,,,,,
,化学防治,,每亩用20%噻菌铜悬浮剂25～32克，或20%叶枯唑可湿性粉剂20～25克，或20%噻唑锌悬浮剂20～25克喷雾。,水稻,细菌性条斑病,4~7,1,1,PD20086024,PD86153-8,PD86153-6,PD20096932,,,,,,,,,,,,,,,,
,农业防治,,浅水勤灌，防止串灌，适当增施磷钾肥。,水稻,水稻苗疫病,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,秧苗三叶前后和大田发病初期，喷洒64%杀毒矾可湿性粉剂600倍液或1∶2∶240倍式波尔多液喷雾防治。,水稻,水稻苗疫病,6~7,1,1,PD268-99,,,,,,,,,,,,,,,,,,,
,农业防治,,因地制宜地选用抗病品种。秧田期以前彻底处理完病稻草，消灭越冬菌源。,水稻,稻瘟病,,0,6,,,,,,,,,,,,,,,,,,,,
,肥水管理,,施足基肥，巧施追肥，灌水应以深水返青，浅水分蘖，晒田拔节和后期浅水为原则。增施硅肥可有效减轻发病。,水稻,稻瘟病,,0,7,,,,,,,,,,,,,,,,,,,,
,种子处理,,播种前用40％多菌灵可湿性粉剂、70％甲基硫菌灵可湿性粉剂、40％异稻瘟净乳油浸种，早稻用1000倍药液浸种48～72小时，晚稻用500倍药液浸种24小时。,水稻,稻瘟病,1,1,5,PD139-91,PD20084850,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,抽穗前2-7天，使用稻艳兑15-30公斤水后搅拌均匀常规喷雾（20-27克/亩），喷药时药液要均匀周到，施药一次。大风天或预计1小时内降雨，请勿施药。,水稻,稻瘟病,13~16,1,1,PD6-85,,,,,,,,,,,,,,,,,,,
,药剂防治-苗期,,水稻2～3叶期发生苗瘟，用6％施稻瘟灵防治1次。,水稻,稻瘟病,5~6,1,2,PD15-86,PD20080053,,,,,,,,,,,,,,,,,,
,药剂防治-移栽,,移栽时，用25％使百克乳油1 500倍液，或20％三环唑乳油750倍液浸秧根3小时。,水稻,稻瘟病,8,1,3,PD20070655,PD20060090,,,,,,,,,,,,,,,,,,
,药剂防治-本田期,,发病季节，每亩喷施25%咪鲜胺乳油15～25克，或30%稻瘟灵乳油30～45克，或50%异稻瘟净乳油50～60克，或50%甲基硫菌灵可湿性粉剂62～75克，或20%三环唑可湿性粉剂15～20克。,水稻,稻瘟病,9~20,1,4,PD20030004,PD20110160,PD20070655,PD15-86,PD20080053,PD20084850,PD139-91,PD20082106,PD20060090,,,,,,,,,,,
,种子处理,,播前晒种1～2天，再用清水浸泡24小时，然后用硫酸铜200倍液，或福尔马林50倍液，或3％～5％生石灰水浸种3～5小时，也可用50％多菌灵500倍液浸种24小时。药液要淹没种子，浸种时不能搅动。,水稻,稻曲病,1,1,3,PD84118-38,,,,,,,,,,,,,,,,,,,
,农业防治,,因地制宜选用抗病品种。建立无病留种田，选用无病种子。合理密植，适时移栽。及时摘除病粒带出田外深埋或烧毁。发病稻田水稻收割后要深翻、晒田。,水稻,稻曲病,,0,4,,,,,,,,,,,,,,,,,,,,
,肥水管理,,施足基肥，增施农家肥，少施氮肥，配施磷、钾肥，慎用穗肥。,水稻,稻曲病,,0,5,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,在水稻孕穗后期（破口前2-6天）喷施应得，用于防治稻曲病。在稻曲病发生严重的年份，可在破口后3-7天内再施用一次。亩用水量30-60升。大风天或预计1小时内降雨，请勿施药。,水稻,稻曲病,16~18,1,1,PD240-98,,,,,,,,,,,,,,,,,,,
,药剂防治,,第一次施药在破口前8天至破口抽穗20％时，可喷施选用1∶1∶500的石灰倍量式波尔多液，或15％三唑酮可湿性粉剂500倍液。第二次在始穗期，可喷洒25％施保克乳油600倍液。,水稻,稻曲病,16~19,1,2,PD20040570,PD20030004,,,,,,,,,,,,,,,,,,
,种子处理,,用50％多菌灵可湿性粉剂1000倍液浸种2天。,水稻,水稻胡麻斑病,1,1,2,PD84118-38,,,,,,,,,,,,,,,,,,,
,农业防治,,发病田块的稻草不能直接还田或用来扎秧把。,水稻,水稻胡麻斑病,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,加强肥料管理，做到基肥足，追肥早，有机肥与磷、钾肥配合施用，尤其是缺钾田块要增施钾肥。前期浅水勤灌，适时适度烤田，后期干湿交替，使稻苗活熟到老。,水稻,水稻胡麻斑病,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,,参见稻瘟病。,水稻,水稻胡麻斑病,5~20,1,1,PD20030004,PD20110160,PD20070655,PD15-86,PD20080053,PD20084850,PD139-91,PD20082106,PD20060090,,,,,,,,,,,
,种子处理,,播种前用1％石灰水浸种，早稻在10～15℃时浸种6天，晚稻在20～25℃时浸种1～2天，捞出洗净、催芽、播种。还可以用40％多菌灵胶悬剂250～500倍液，浸种24～48小时。,水稻,水稻叶鞘腐败病,1,1,2,PD20093432,PD84118-38,,,,,,,,,,,,,,,,,,
,农业防治,,选用抗病品种。采取旱育稀植技术。,水稻,水稻叶鞘腐败病,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,配方施肥，避免偏施、过施氮肥，做到分期施肥，防止后期脱肥、早衰。沙性土要适当增施钾肥。浅水勤灌，适时晒田。,水稻,水稻叶鞘腐败病,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,,结合防治稻瘟病可兼治本病。,水稻,水稻叶鞘腐败病,5~20,1,1,PD20030004,PD20110160,PD20070655,PD15-86,PD20080053,PD20084850,PD139-91,PD20082106,PD20060090,,,,,,,,,,,
,种子处理,,选种后，用50％多菌灵800倍液，也可用70％甲基硫菌灵500倍液，或1％石灰水浸种24小时。,水稻,稻粒黑粉病,1,1,2,PD20093432,PD84118-38,PD139-91,PD20082106,,,,,,,,,,,,,,,,
,农业防治,,选用抗病品种。实行水旱轮作。制种田冬季翻土晒垡。用重力式精选机选种，可去除95％以上的黑粉病粒，再用7％的盐水选种。,水稻,稻粒黑粉病,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,多施有机肥和磷、钾肥。施肥要早，适时晒田，后期干湿交替，控制田间湿度。,水稻,稻粒黑粉病,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,,始花期、盛花期和灌浆期各用药剂防治1次。可喷洒每亩用17.5%多·烯唑可湿性粉剂10.5～12.25克，或25％三唑酮1000倍液，或5％井冈霉素水剂250～500倍液，或70％甲基硫菌灵600倍液。,水稻,稻粒黑粉病,16,1,1,PD20094946,PD20040570,PD20085507,PD20130887,PD139-91,PD20082106,,,,,,,,,,,,,,
,检疫,,加强检疫，防止病种子调入和调出。,水稻,水稻细菌性褐斑病,,0,5,,,,,,,,,,,,,,,,,,,,
,农业防治,,因地制宜的选择抗病、耐病品种。清除田边杂草，降低病原菌数量。,水稻,水稻细菌性褐斑病,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,合理搭配施用氮、磷、钾肥，控制好氮肥用量，增施磷、钾肥，可减轻病害的发生。适时晒田，水稻孕穗到抽穗灌浆期要保持浅水层。切忌灌水过多或长期水淹，防止病田水串流。,水稻,水稻细菌性褐斑病,,0,4,,,,,,,,,,,,,,,,,,,,
,种子处理,,先将种子用清水浸泡12小时，再放入40％的强氯精200倍液中浸泡12小时，然后用清水洗净，催芽播种；或者用80％402抗菌剂2000倍液浸种2天，或用福尔马林50倍液浸种3小时，再闷种12小时，洗净后再催芽。,水稻,水稻细菌性褐斑病,1,1,2,PD20101593,PD20101350,,,,,,,,,,,,,,,,,,
,药剂防治,,发病初期应及时喷药，防止扩大蔓延。常用的药剂有每公顷用20%噻菌铜悬浮剂300～390克，或15%叶枯唑可湿性粉剂300～375克。,水稻,水稻细菌性褐斑病,6~13,1,1,PD20086024,PD86153-6,PD86153-8,,,,,,,,,,,,,,,,,
,检疫,,该病的病原线虫列为我国二类检疫对象，严禁该线虫进入我国境内。,水稻,水稻茎线虫病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,毁掉病株是疫区最有效的治理措施，病区也可以在干旱季节犁田，将稻根翻到表面曝晒，大量的稻根用人工清理出田外烧掉，这样作可以减少下一季的侵染基数。,水稻,水稻茎线虫病,,0,1,,,,,,,,,,,,,,,,,,,,
,农业防治,,轮作或休闲也是有效的防除措施。利用稻茎线虫只寄生稻属作物的特点，轮种其他非寄主植物1年或让病田休闲1年，就可以饿死田间土壤中的病原线虫。如水稻与芥菜轮作可明显减少茎线虫量；黄麻栽种在受过线虫感染的田块中也能减轻症状。,水稻,水稻茎线虫病,,0,2,,,,,,,,,,,,,,,,,,,,
,农业防治,,播种或移栽深水稻要比平常延迟2～3个星期或等洪水退后进行，这样其侵染性就会减轻25～28%或者更多，当然采用这种防治措施受一定条件限制。,水稻,水稻茎线虫病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,在疫区建立无病留种田也是比较经济而必要的措施，这种方法最少可以减轻为害。,水稻,水稻茎线虫病,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,,尽管药剂防治也是有效的，但其成本较高，危险性大，此外，由于化学药剂使用较困难，如若在洪水期间使用又较危险，因此深水稻中化学农药的使用极有限。,水稻,水稻茎线虫病,9~13,1,5,,,,,,,,,,,,,,,,,,,,
,农业防治,,种植抗病品种。重发地区应压缩早播早栽面积，推迟水稻播栽期，使水稻秧苗期尽量避开第1代灰飞虱的迁入高峰。秧田要连片安排，忌种插花田。早稻、单季稻苗床应远离麦田，双季晚稻苗床应远离发病较重的稻田。冬前和冬后全面防除田间地头和渠沟边禾本科杂草，可减少灰飞虱的发生量和带毒率。秋季水稻收获后，耕翻灭茬，压低灰飞虱越冬基数。,水稻,水稻条纹叶枯病,,0,2,,,,,,,,,,,,,,,,,,,,
,化学防治,,"“控虫防病”是预防和控制水稻条纹叶枯病的关键措施，在灰飞虱的防治上要采取“治麦田保秧田、治秧田保大田、治大田前期保大田后期”的防治策略，做到全程药控。每亩用25%吡蚜酮可湿性粉剂2克进行拌种处理,既不影响水稻生长,对水稻安全,又能有效控制水稻苗期灰飞虱发生量,从而达到降低条纹叶枯病发生的目的。",水稻,水稻条纹叶枯病,9~18,1,1,PD20094118,LS20130027,PD20122060,,,,,,,,,,,,,,,,,
,检疫,,控制带病种子的引入是防治的关键一环。湖北省已列为植物检疫对象。制种田严格把好亲本引进关。,水稻,水稻黑条矮缩病,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,积极推广抗病、耐病品种，尤其是单季稻和二季晚稻品种，如推广种植协优 963、杂优 2 号、汕优 63 等优良杂交组合。,水稻,水稻黑条矮缩病,,0,2,,,,,,,,,,,,,,,,,,,,
