  北京 100000 北京,北京,北京 39.904030 116.407526 101010100 
  上海 200000 上海,上海,上海 31.230416 121.473701 101020100    
  嘉定 201800 上海,上海,嘉定 31.375602 121.265300 101020500    
  浦东南汇  上海,上海,浦东南汇 31.045101 121.763263 101020600    
  金山 201500 上海,上海,金山 30.741991 121.341970 101020700    
  青浦 201700 上海,上海,青浦 31.150681 121.124178 101020800    
  松江 201600 上海,上海,松江 31.032243 121.227747 101020900    
  奉贤 201400 上海,上海,奉贤 30.917795 121.474042 101021000    
  崇明 202150 上海,上海,崇明 31.623587 121.397417 101021100    
  天津 300000 天津,天津,天津 39.084158 117.200983 101030100    
  重庆 400000 重庆,重庆,重庆 29.563010 106.551557 101040100    
  永川 402160 重庆,重庆,永川 29.356134 105.927293 101040200    
  合川 401520 重庆,重庆,合川 29.972084 106.276130 101040300 
  南川 408400 重庆,重庆,南川 29.157891 107.099266 101040400    
  江津 402260 重庆,重庆,江津 29.290069 106.259281 101040500    
  万盛 400800 重庆,重庆,万盛 28.949273 106.926267 101040600    
  渝北 401120 重庆,重庆,渝北 29.718171 106.631052 101040700    
  北碚 400700 重庆,重庆,北碚 29.805098 106.395569 101040800    
  巴南 401320 重庆,重庆,巴南 29.402409 106.540295 101040900    
  长寿 401220 重庆,重庆,长寿 29.857996 107.081283 101041000    
  黔江 409700 重庆,重庆,黔江 29.533884 108.770458 101041100    
  万州 404100 重庆,重庆,万州 30.807823 108.408746 101041300    
  涪陵 408000 重庆,重庆,涪陵 29.703113 107.389298 101041400    
  开县 405400 重庆,重庆,开县 31.160711 108.393135 101041500    
  城口 405900 重庆,重庆,城口 31.947695 108.664260 101041600    
  云阳 404500 重庆,重庆,云阳 30.930615 108.697293 101041700    
  巫溪 405800 重庆,重庆,巫溪 31.398604 109.570062 101041800    
  奉节 404600 重庆,重庆,奉节 31.018498 109.463987 101041900    
  巫山 404700 重庆,重庆,巫山 31.074834 109.879153 101042000    
  潼南 402660 重庆,重庆,潼南 30.191013 105.840556 101042100    
  垫江 408300 重庆,重庆,垫江 30.327156 107.332734 101042200    
  梁平 405200 重庆,重庆,梁平 30.674362 107.803911 101042300    
  忠县 404300 重庆,重庆,忠县 30.300789 108.038401 101042400    
  石柱  重庆,重庆,石柱 29.999285 108.114069 101042500    
  大足 402360 重庆,重庆,大足 29.707032 105.721733 101042600    
  荣昌 402460 重庆,重庆,荣昌 29.405003 105.594623 101042700    
  铜梁 402560 重庆,重庆,铜梁 29.844811 106.056404 101042800    
  璧山 402760 重庆,重庆,璧山 29.592024 106.227305 101042900    
  丰都 408200 重庆,重庆,丰都 29.863500 107.730895 101043000    
  武隆 408500 重庆,重庆,武隆 29.325497 107.759913 101043100    
  彭水  重庆,重庆,彭水 29.293963 108.165545 101043200    
  綦江 401420 重庆,重庆,綦江 29.028067 106.651362 101043300    
  酉阳  重庆,重庆,酉阳 28.841196 108.767731 101043400    
  秀山  重庆,重庆,秀山 28.444952 109.016359 101043600    
  哈尔滨 150000 黑龙江,哈尔滨,哈尔滨 45.802270 126.536260 101050101    
  双城 150100 黑龙江,哈尔滨,双城 45.383263 126.312745 101050102    
  呼兰 150500 黑龙江,哈尔滨,呼兰 45.888997 126.587904 101050103    
  阿城 150300 黑龙江,哈尔滨,阿城 45.548670 126.958098 101050104    
  宾县 150400 黑龙江,哈尔滨,宾县 45.745122 127.466888 101050105    
  依兰 154800 黑龙江,哈尔滨,依兰 46.324534 129.567985 101050106    
  巴彦 151800 黑龙江,哈尔滨,巴彦 46.085379 127.403182 101050107    
  通河 150900 黑龙江,哈尔滨,通河 45.972425 128.749352 101050108    
  方正 150800 黑龙江,哈尔滨,方正 45.851695 128.829536 101050109    
  延寿 150700 黑龙江,哈尔滨,延寿 45.451897 128.331644 101050110    
  尚志 150600 黑龙江,哈尔滨,尚志 45.209586 128.009895 101050111    
  五常 150200 黑龙江,哈尔滨,五常 44.931992 127.167619 101050112    
  木兰 151900 黑龙江,哈尔滨,木兰 45.950582 128.043466 101050113    
  齐齐哈尔 161000 黑龙江,齐齐哈尔,齐齐哈尔 47.354348 123.918186 101050201    
  讷河 161300 黑龙江,齐齐哈尔,讷河 48.484099 124.884244 101050202    
  龙江 161100 黑龙江,齐齐哈尔,龙江 47.338665 123.205323 101050203    
  甘南 162100 黑龙江,齐齐哈尔,甘南 47.922406 123.507429 101050204    
  富裕 161200 黑龙江,齐齐哈尔,富裕 47.774243 124.473819 101050205    
  依安 161500 黑龙江,齐齐哈尔,依安 47.893548 125.306279 101050206    
  拜泉 164700 黑龙江,齐齐哈尔,拜泉 47.595851 126.100213 101050207    
  克山 161600 黑龙江,齐齐哈尔,克山 48.037031 125.875705 101050208    
  克东 164800 黑龙江,齐齐哈尔,克东 48.042060 126.248720 101050209    
  泰来 162400 黑龙江,齐齐哈尔,泰来 46.393694 123.416631 101050210    
