Weather Central 001d0300 Surface Data TimeStamp=2015.06.19.0800
areid,cityname,lat,lon,rh20cm
101050113,mulan,45.57,128.02,70
101131405,jimunai,47.44,85.89,90
101131409,qinghe,46.67,90.19,40
101131601,bole,44.92,82.03,70
101131602,wenquan,44.97,81.02,20
101131106,wusu,44.43,84.69,100
101131106,kuitunshi,44.43,84.69,100
101130110,baiyanggou,43.46,87.19,70
101130110,wulumuqimushizhan,43.46,87.19,70
101130408,mulei,43.81,90.26,100
101130504,shanshan,42.88,90.25,60
101130906,yecheng,37.86,77.41,80
101160501,wuwei,37.88,102.88,70
101150806,gangcha,37.32,100.14,100
101160503,gulang,37.52,102.88,70
101150901,geermu,36.42,94.91,90
101150208,pingan,36.50,102.10,40
101150208,haidong,36.50,102.10,40
101161302,jingyuan,36.57,104.69,90
101150302,jianzha,35.94,102.03,40
101080107,wuchuan,41.08,111.46,60
101080704,zhungeer,39.85,111.22,60
101110403,shenmu,38.82,110.47,50
101160305,huating,35.20,106.62,60
101181202,xunxian,35.66,114.52,100
101250601,changde,29.07,111.68,100
101250905,shaodong,27.22,111.73,100
101260802,liuzhi,26.06,105.45,100
101260509,sansui,26.93,108.87,100
101251205,jingzhou,26.58,109.67,100
101250407,hengnan,26.69,112.76,100
101260410,dushan,25.83,107.55,100
101260516,rongjiang,25.97,108.87,100
101250505,linwu,25.27,112.55,90
101190706,jianhu,33.47,119.77,90
101190705,sheyang,33.77,120.25,80
101190708,dafeng,33.20,120.48,90
101220802,funan,32.64,115.60,100
101221503,shouxian,32.56,116.78,100
101191204,jiangyan,32.52,120.15,100
101221506,huoshan,31.40,116.34,100
101220503,hanshan,31.74,118.09,100
101220504,hexian,31.73,118.36,80
101190508,haimen,31.92,121.20,90
101221002,huangshanqu,30.30,118.13,100
101221701,chizhou,30.66,117.47,100
101211101,dinghai,30.03,122.11,100
101211101,zhoushan,30.03,122.11,100
101240207,hukou,29.73,116.23,90
101210104,chunan,29.61,119.03,80
101210502,zhuji,29.70,120.25,200
101230904,shaowu,27.33,117.47,70
101230805,jiangle,26.73,117.47,80
101301203,donglan,24.54,107.39,100
101301206,luocheng,24.81,108.90,100
101300510,yangshuo,24.78,110.50,100
101230706,yongding,24.73,116.72,100
101301001,baise,23.90,106.61,100
101301006,tiandong,23.59,107.12,100
101300803,pingnan,23.55,110.39,100
