areaid,cityname,forecasttime,temperature,pheno,wind_direction,wind_speed
101301207,宜州,2015-01-31 20:00:00,5,阴,东北风,小于3
101301207,宜州,2015-02-01 08:00:00,8,阴,东北风,小于3
101301207,宜州,2015-02-01 20:00:00,6,阴,东风,小于3
101301207,宜州,2015-02-02 08:00:00,11,阴,东风,小于3
101301207,宜州,2015-02-02 20:00:00,8,阴,南风,小于3
101301207,宜州,2015-02-03 08:00:00,13,阴,南风,小于3
101301207,宜州,2015-02-03 20:00:00,7,小雨,东北风,小于3
101301207,宜州,2015-02-04 08:00:00,10,小雨,东北风,小于3
101301207,宜州,2015-02-04 20:00:00,7,小雨,东北风,小于3
101301207,宜州,2015-02-05 08:00:00,10,小雨,东北风,小于3
101301207,宜州,2015-02-05 20:00:00,4,阴,东风,小于3
101301207,宜州,2015-02-06 08:00:00,10,阴,东风,小于3
101301207,宜州,2015-02-06 20:00:00,4,阴,东北风,小于3
101301207,宜州,2015-02-07 08:00:00,9,阴,东北风,小于3
101090201,保定,2015-01-31 20:00:00,-9,晴,西北风,小于3
101090201,保定,2015-02-01 08:00:00,3,霾,南风,小于3
101090201,保定,2015-02-01 20:00:00,-7,霾,西北风,小于3
101090201,保定,2015-02-02 08:00:00,4,霾,南风,小于3
101090201,保定,2015-02-02 20:00:00,-6,霾,西北风,小于3
101090201,保定,2015-02-03 08:00:00,5,霾,西北风,小于3
101090201,保定,2015-02-03 20:00:00,-8,晴,北风,3-4
101090201,保定,2015-02-04 08:00:00,4,晴,北风,3-4
101090201,保定,2015-02-04 20:00:00,-8,晴,西北风,小于3
101090201,保定,2015-02-05 08:00:00,6,晴,西南风,小于3
101090201,保定,2015-02-05 20:00:00,-6,晴,西南风,小于3
101090201,保定,2015-02-06 08:00:00,5,多云,西南风,小于3
101090201,保定,2015-02-06 20:00:00,-7,多云,东北风,3-4
101090201,保定,2015-02-07 08:00:00,3,多云,东北风,3-4
101251405,道县,2015-01-31 20:00:00,3,阴,北风,小于3
101251405,道县,2015-02-01 08:00:00,6,阴,北风,小于3
101251405,道县,2015-02-01 20:00:00,4,阴,北风,小于3
101251405,道县,2015-02-02 08:00:00,10,阴,北风,小于3
101251405,道县,2015-02-02 20:00:00,6,阴,北风,小于3
101251405,道县,2015-02-03 08:00:00,11,小雨,北风,小于3
101251405,道县,2015-02-03 20:00:00,4,小雨,北风,小于3
101251405,道县,2015-02-04 08:00:00,9,小雨,北风,小于3
101251405,道县,2015-02-04 20:00:00,2,小雨,北风,小于3
101251405,道县,2015-02-05 08:00:00,5,小雨,北风,小于3
101251405,道县,2015-02-05 20:00:00,1,多云,北风,小于3
101251405,道县,2015-02-06 08:00:00,10,多云,北风,小于3
101251405,道县,2015-02-06 20:00:00,4,阴,北风,小于3
101251405,道县,2015-02-07 08:00:00,8,阴,北风,小于3
101191303,泗阳,2015-01-31 20:00:00,-3,多云,东北风,小于3
101191303,泗阳,2015-02-01 08:00:00,4,多云,东风,小于3
101191303,泗阳,2015-02-01 20:00:00,-3,阴,东风,小于3
101191303,泗阳,2015-02-02 08:00:00,6,多云,东风,小于3
101191303,泗阳,2015-02-02 20:00:00,2,阴,东风,小于3
101191303,泗阳,2015-02-03 08:00:00,7,阴,东北风,小于3
101191303,泗阳,2015-02-03 20:00:00,0,阴,北风,3-4
101191303,泗阳,2015-02-04 08:00:00,7,多云,北风,3-4
101191303,泗阳,2015-02-04 20:00:00,-3,晴,北风,3-4
101191303,泗阳,2015-02-05 08:00:00,7,晴,北风,小于3
101191303,泗阳,2015-02-05 20:00:00,-2,晴,北风,小于3
101191303,泗阳,2015-02-06 08:00:00,8,晴,北风,小于3
101191303,泗阳,2015-02-06 20:00:00,0,多云,西南风,小于3
101191303,泗阳,2015-02-07 08:00:00,10,多云,西南风,小于3
101190104,江宁,2015-01-31 20:00:00,-1,阴,东北风,小于3
101190104,江宁,2015-02-01 08:00:00,6,阴,东北风,小于3
101190104,江宁,2015-02-01 20:00:00,0,阴,东风,3-4
101190104,江宁,2015-02-02 08:00:00,8,阴,东风,3-4
101190104,江宁,2015-02-02 20:00:00,4,小雨,东风,3-4
101190104,江宁,2015-02-03 08:00:00,9,阴,东北风,3-4
101190104,江宁,2015-02-03 20:00:00,3,阴,北风,3-4
101190104,江宁,2015-02-04 08:00:00,9,阴,西北风,3-4
101190104,江宁,2015-02-04 20:00:00,-2,晴,西北风,3-4
101190104,江宁,2015-02-05 08:00:00,8,晴,西北风,3-4
101190104,江宁,2015-02-05 20:00:00,-1,晴,西北风,3-4
101190104,江宁,2015-02-06 08:00:00,9,多云,西风,3-4
101190104,江宁,2015-02-06 20:00:00,0,多云,东北风,3-4
101190104,江宁,2015-02-07 08:00:00,9,多云,东北风,3-4
101120511,海阳,2015-01-31 20:00:00,-6,多云,西北风,3-4
101120511,海阳,2015-02-01 08:00:00,4,晴,西北风,3-4
101120511,海阳,2015-02-01 20:00:00,-5,晴,西北风,3-4
101120511,海阳,2015-02-02 08:00:00,5,多云,南风,3-4
101120511,海阳,2015-02-02 20:00:00,-4,多云,南风,3-4
101120511,海阳,2015-02-03 08:00:00,7,阴,北风,3-4
101120511,海阳,2015-02-03 20:00:00,-3,多云,北风,3-4
101120511,海阳,2015-02-04 08:00:00,4,多云,北风,4-5
101120511,海阳,2015-02-04 20:00:00,-3,多云,北风,4-5
101120511,海阳,2015-02-05 08:00:00,5,晴,西北风,3-4
101120511,海阳,2015-02-05 20:00:00,-4,晴,西北风,3-4
101120511,海阳,2015-02-06 08:00:00,5,晴,北风,3-4
101120511,海阳,2015-02-06 20:00:00,-4,晴,西北风,3-4
101120511,海阳,2015-02-07 08:00:00,5,多云,西北风,3-4
101290703,江川,2015-01-31 20:00:00,8,阵雨,西南风,小于3
101290703,江川,2015-02-01 08:00:00,15,阵雨,西南风,小于3
101290703,江川,2015-02-01 20:00:00,4,多云,西南风,小于3
101290703,江川,2015-02-02 08:00:00,18,多云,西南风,小于3
101290703,江川,2015-02-02 20:00:00,3,多云,西南风,小于3
101290703,江川,2015-02-03 08:00:00,18,晴,西南风,小于3
101290703,江川,2015-02-03 20:00:00,3,晴,西南风,小于3
101290703,江川,2015-02-04 08:00:00,18,多云,西南风,小于3
101290703,江川,2015-02-04 20:00:00,4,多云,西南风,小于3
101290703,江川,2015-02-05 08:00:00,14,小雨,东风,小于3
101290703,江川,2015-02-05 20:00:00,4,小雨,东风,3-4
101290703,江川,2015-02-06 08:00:00,19,多云,西风,小于3
101290703,江川,2015-02-06 20:00:00,5,多云,西风,小于3
101290703,江川,2015-02-07 08:00:00,17,晴,西风,小于3
101271907,金川,2015-01-31 20:00:00,-4,晴,东南风,小于3
101271907,金川,2015-02-01 08:00:00,13,多云,南风,小于3
101271907,金川,2015-02-01 20:00:00,-4,晴,东南风,小于3
101271907,金川,2015-02-02 08:00:00,15,晴,南风,小于3
101271907,金川,2015-02-02 20:00:00,-5,晴,东风,小于3
101271907,金川,2015-02-03 08:00:00,14,多云,西风,小于3
101271907,金川,2015-02-03 20:00:00,-2,晴,东南风,小于3
101271907,金川,2015-02-04 08:00:00,12,多云,西南风,小于3
101271907,金川,2015-02-04 20:00:00,-2,多云,东南风,小于3
101271907,金川,2015-02-05 08:00:00,11,多云,西风,小于3
101271907,金川,2015-02-05 20:00:00,-2,晴,东南风,小于3
101271907,金川,2015-02-06 08:00:00,13,多云,西风,小于3
101271907,金川,2015-02-06 20:00:00,-3,晴,东南风,小于3
101271907,金川,2015-02-07 08:00:00,11,多云,西风,小于3
101290607,广南,2015-01-31 20:00:00,4,小雨,微风,小于3
101290607,广南,2015-02-01 08:00:00,7,小雨,微风,小于3
101290607,广南,2015-02-01 20:00:00,6,小雨,微风,小于3
101290607,广南,2015-02-02 08:00:00,16,阴,微风,小于3
101290607,广南,2015-02-02 20:00:00,4,多云,微风,小于3
101290607,广南,2015-02-03 08:00:00,19,多云,微风,小于3
101290607,广南,2015-02-03 20:00:00,3,多云,微风,小于3
101290607,广南,2015-02-04 08:00:00,11,小雨,微风,小于3
101290607,广南,2015-02-04 20:00:00,4,小雨,微风,小于3
101290607,广南,2015-02-05 08:00:00,6,小雨,微风,小于3
101290607,广南,2015-02-05 20:00:00,4,小雨,微风,小于3
101290607,广南,2015-02-06 08:00:00,11,小雨,微风,小于3
101290607,广南,2015-02-06 20:00:00,4,小雨,微风,小于3
101290607,广南,2015-02-07 08:00:00,12,小雨,微风,小于3
101271810,德格,2015-01-31 20:00:00,-7,多云,南风,小于3
101271810,德格,2015-02-01 08:00:00,4,多云,南风,小于3
101271810,德格,2015-02-01 20:00:00,-10,晴,南风,小于3
101271810,德格,2015-02-02 08:00:00,8,多云,南风,小于3
101271810,德格,2015-02-02 20:00:00,-10,多云,南风,小于3
101271810,德格,2015-02-03 08:00:00,8,多云,南风,小于3
101271810,德格,2015-02-03 20:00:00,-8,多云,南风,小于3
101271810,德格,2015-02-04 08:00:00,11,多云,南风,小于3
101271810,德格,2015-02-04 20:00:00,-6,多云,南风,小于3
101271810,德格,2015-02-05 08:00:00,10,多云,南风,小于3
101271810,德格,2015-02-05 20:00:00,-6,阴,南风,小于3
101271810,德格,2015-02-06 08:00:00,11,多云,南风,小于3
101271810,德格,2015-02-06 20:00:00,-5,晴,南风,小于3
101271810,德格,2015-02-07 08:00:00,3,多云,南风,小于3
101271007,纳溪,2015-01-31 20:00:00,4,小雨,旋转风,小于3
101271007,纳溪,2015-02-01 08:00:00,9,阴,旋转风,小于3
101271007,纳溪,2015-02-01 20:00:00,5,阴,旋转风,小于3
101271007,纳溪,2015-02-02 08:00:00,12,多云,旋转风,小于3
101271007,纳溪,2015-02-02 20:00:00,7,多云,旋转风,小于3
101271007,纳溪,2015-02-03 08:00:00,11,多云,旋转风,小于3
101271007,纳溪,2015-02-03 20:00:00,7,多云,旋转风,小于3
101271007,纳溪,2015-02-04 08:00:00,12,多云,旋转风,小于3
101271007,纳溪,2015-02-04 20:00:00,5,小雨,北风,小于3
101271007,纳溪,2015-02-05 08:00:00,9,阴,北风,小于3
101271007,纳溪,2015-02-05 20:00:00,5,小雨,旋转风,小于3
101271007,纳溪,2015-02-06 08:00:00,11,多云,旋转风,小于3
101271007,纳溪,2015-02-06 20:00:00,5,阴,旋转风,小于3
101271007,纳溪,2015-02-07 08:00:00,13,多云,旋转风,小于3
101181602,西平县,2015-01-31 20:00:00,-4,多云,微风,小于3
101181602,西平县,2015-02-01 08:00:00,4,多云,微风,小于3
101181602,西平县,2015-02-01 20:00:00,-5,晴,微风,小于3
101181602,西平县,2015-02-02 08:00:00,5,多云,微风,小于3
101181602,西平县,2015-02-02 20:00:00,-2,多云,微风,小于3
101181602,西平县,2015-02-03 08:00:00,9,多云,微风,小于3
101181602,西平县,2015-02-03 20:00:00,-3,多云,微风,小于3
101181602,西平县,2015-02-04 08:00:00,9,多云,微风,小于3
101181602,西平县,2015-02-04 20:00:00,-3,晴,微风,小于3
101181602,西平县,2015-02-05 08:00:00,7,晴,微风,小于3
101181602,西平县,2015-02-05 20:00:00,0,阴,微风,小于3
101181602,西平县,2015-02-06 08:00:00,12,多云,微风,小于3
101181602,西平县,2015-02-06 20:00:00,-3,阴,微风,小于3
101181602,西平县,2015-02-07 08:00:00,9,多云,微风,小于3
101281307,英德,2015-01-31 20:00:00,7,多云,微风,小于3
101281307,英德,2015-02-01 08:00:00,14,多云,微风,小于3
101281307,英德,2015-02-01 20:00:00,9,多云,微风,小于3
101281307,英德,2015-02-02 08:00:00,16,多云,微风,小于3
101281307,英德,2015-02-02 20:00:00,11,多云,微风,小于3
101281307,英德,2015-02-03 08:00:00,17,多云,微风,小于3
101281307,英德,2015-02-03 20:00:00,11,阴,微风,小于3
101281307,英德,2015-02-04 08:00:00,17,阴,微风,小于3
101281307,英德,2015-02-04 20:00:00,8,小雨,微风,小于3
101281307,英德,2015-02-05 08:00:00,16,阴,微风,小于3
101281307,英德,2015-02-05 20:00:00,7,阴,微风,小于3
101281307,英德,2015-02-06 08:00:00,12,阴,微风,小于3
101281307,英德,2015-02-06 20:00:00,7,阴,微风,小于3
101281307,英德,2015-02-07 08:00:00,13,多云,微风,小于3
101060601,白城,2015-01-31 20:00:00,-16,晴,西风,小于3
101060601,白城,2015-02-01 08:00:00,-2,晴,西风,小于3
101060601,白城,2015-02-01 20:00:00,-15,晴,西南风,小于3
101060601,白城,2015-02-02 08:00:00,-2,晴,西南风,小于3
101060601,白城,2015-02-02 20:00:00,-16,晴,西北风,小于3
101060601,白城,2015-02-03 08:00:00,-5,多云,西北风,小于3
101060601,白城,2015-02-03 20:00:00,-14,多云,北风,小于3
101060601,白城,2015-02-04 08:00:00,-5,晴,北风,小于3
101060601,白城,2015-02-04 20:00:00,-14,晴,西风,小于3
101060601,白城,2015-02-05 08:00:00,-3,晴,西风,小于3
101060601,白城,2015-02-05 20:00:00,-15,小雪,西北风,小于3
101060601,白城,2015-02-06 08:00:00,-4,小雪,西北风,小于3
101060601,白城,2015-02-06 20:00:00,-21,多云,西风,3-4
101060601,白城,2015-02-07 08:00:00,-12,多云,西风,3-4
101271811,白玉,2015-01-31 20:00:00,-20,多云,西风,小于3
101271811,白玉,2015-02-01 08:00:00,8,多云,南风,小于3
101271811,白玉,2015-02-01 20:00:00,-11,晴,西风,小于3
101271811,白玉,2015-02-02 08:00:00,10,多云,南风,小于3
101271811,白玉,2015-02-02 20:00:00,-11,晴,西风,小于3
101271811,白玉,2015-02-03 08:00:00,11,多云,南风,小于3
101271811,白玉,2015-02-03 20:00:00,-10,晴,西风,小于3
101271811,白玉,2015-02-04 08:00:00,13,多云,南风,小于3
101271811,白玉,2015-02-04 20:00:00,-10,阴,西风,小于3
101271811,白玉,2015-02-05 08:00:00,12,多云,南风,小于3
101271811,白玉,2015-02-05 20:00:00,-9,阴,西风,小于3
