areaid,date,avg_temp,prec
101200805,2015-6-18,22.4,0
101200805,2015-6-19,24.1,0
101200805,2015-6-20,24.8,19.1
101200805,2015-6-21,22.3,8
101200805,2015-6-22,23.9,0
101200805,2015-6-23,25.6,2.4
101200805,2015-6-24,24.3,6.2
101200805,2015-6-25,24.6,6.5
101200805,2015-6-26,25.5,15
101200805,2015-6-27,25.6,14.5
101200805,2015-6-28,25.5,7.4
101200805,2015-6-29,26.1,3.9
101200805,2015-6-30,26.2,9.7
101200805,2015-7-1,26.6,9.1
101200805,2015-7-2,26.7,10.3
101200805,2015-7-3,27.1,6.2
101200805,2015-7-4,27.3,5.3
101200805,2015-7-5,27.4,6.2
101200805,2015-7-6,27.3,7.5
101200805,2015-7-7,26.8,5.5
101200805,2015-7-8,26.6,6.6
101200805,2015-7-9,26.3,11
101200805,2015-7-10,26.1,4.9
101200805,2015-7-11,26.4,4.6
101200805,2015-7-12,26.8,5.1
101200805,2015-7-13,26.9,5.8
101200805,2015-7-14,26.9,8.6
101200805,2015-7-15,27.2,6.8
101200805,2015-7-16,27.5,3.3
101200805,2015-7-17,28,2.9
101200805,2015-7-18,28,4.3
101200805,2015-7-19,28,5.7
101200805,2015-7-20,28.1,4.1
101200805,2015-7-21,27.9,4.8
101200805,2015-7-22,28.1,4.2
101200805,2015-7-23,28.2,6
101200805,2015-7-24,28,3.2
101200805,2015-7-25,27.5,3.8
101200805,2015-7-26,27.4,2.2
101200805,2015-7-27,30.7,0.3
101250705,2015-6-18,22.2,4
101250705,2015-6-19,23.2,0
101250705,2015-6-20,23.9,20.8
101250705,2015-6-21,21.8,13.4
101250705,2015-6-22,23.1,0
101250705,2015-6-23,24.9,2.7
101250705,2015-6-24,24.4,8.2
101250705,2015-6-25,25.2,8.7
101250705,2015-6-26,26.3,9.9
101250705,2015-6-27,26.5,10.2
101250705,2015-6-28,26.3,7.1
101250705,2015-6-29,26.8,4.7
101250705,2015-6-30,27,3.8
101250705,2015-7-1,27.4,6.2
101250705,2015-7-2,27.4,5
101250705,2015-7-3,27.5,4.1
101250705,2015-7-4,27.4,5
101250705,2015-7-5,27.6,5.5
101250705,2015-7-6,27.4,6.3
101250705,2015-7-7,27.1,5.8
101250705,2015-7-8,26.8,5.2
101250705,2015-7-9,26.8,8.8
101250705,2015-7-10,26.5,7
101250705,2015-7-11,26.4,3.9
101250705,2015-7-12,26.9,3.9
101250705,2015-7-13,26.9,7.2
101250705,2015-7-14,27,5.3
101250705,2015-7-15,27.5,7.7
101250705,2015-7-16,27.7,4.9
101250705,2015-7-17,28.1,2.9
101250705,2015-7-18,28.1,4.2
101250705,2015-7-19,28.2,3.8
101250705,2015-7-20,28.2,3.4
101250705,2015-7-21,28.1,5.4
101250705,2015-7-22,28.1,4.6
101250705,2015-7-23,28.4,3.9
101250705,2015-7-24,28.1,3.8
101250705,2015-7-25,27.7,5
101250705,2015-7-26,27.5,3.5
101250705,2015-7-27,30.7,0
101120408,2015-6-18,27.9,0
101120408,2015-6-19,26.2,0
101120408,2015-6-20,27.2,0
101120408,2015-6-21,29,0
101120408,2015-6-22,30,0
101120408,2015-6-23,30.8,0
101120408,2015-6-24,30.9,0
101120408,2015-6-25,29.3,0
101120408,2015-6-26,27.9,0
101120408,2015-6-27,28,0
101120408,2015-6-28,28.9,0
101120408,2015-6-29,28.1,4
101120408,2015-6-30,27.4,5
101120408,2015-7-1,27.8,5.4
101120408,2015-7-2,28.1,2.1
101120408,2015-7-3,28.9,0
101120408,2015-7-4,29.7,1.1
101120408,2015-7-5,29.8,5.3
101120408,2015-7-6,29.9,1.7
101120408,2015-7-7,29.7,0
101120408,2015-7-8,29.6,1.3
101120408,2015-7-9,29.4,1.8
101120408,2015-7-10,29.2,2.4
101120408,2015-7-11,29.6,2.6
101120408,2015-7-12,29.2,2.2
101120408,2015-7-13,29.7,1.5
101120408,2015-7-14,30.2,1.5
101120408,2015-7-15,30.1,3.5
101120408,2015-7-16,30.3,1.4
101120408,2015-7-17,30.7,2.2
101120408,2015-7-18,29.8,4.2
101120408,2015-7-19,29.9,2.3
101120408,2015-7-20,29.9,2.3
101120408,2015-7-21,30.7,2
101120408,2015-7-22,30.3,4.7
101120408,2015-7-23,30,4.2
101120408,2015-7-24,29.6,2.6
101120408,2015-7-25,29.2,5.2
101120408,2015-7-26,29.1,1.9
101120408,2015-7-27,28.1,8.4
101120410,2015-6-18,28.2,0
101120410,2015-6-19,26.6,0
101120410,2015-6-20,27.2,0
101120410,2015-6-21,29,0
101120410,2015-6-22,29.9,0
101120410,2015-6-23,30.7,0
101120410,2015-6-24,30.8,0
101120410,2015-6-25,29.2,0
101120410,2015-6-26,27.8,0
101120410,2015-6-27,27.9,0
101120410,2015-6-28,28.8,0
101120410,2015-6-29,27.9,3.9
101120410,2015-6-30,27.3,5
101120410,2015-7-1,27.7,5.3
101120410,2015-7-2,28.2,2
101120410,2015-7-3,28.9,0
101120410,2015-7-4,29.7,1.4
101120410,2015-7-5,29.8,6.8
101120410,2015-7-6,29.8,1.7
101120410,2015-7-7,29.8,0
101120410,2015-7-8,29.6,1.2
101120410,2015-7-9,29.4,1.8
101120410,2015-7-10,29.2,2.4
101120410,2015-7-11,29.6,3
101120410,2015-7-12,29.3,2.5
101120410,2015-7-13,29.7,1.5
101120410,2015-7-14,30.2,1.4
101120410,2015-7-15,30.1,3.8
101120410,2015-7-16,30.4,1.2
101120410,2015-7-17,30.7,2.1
101120410,2015-7-18,29.8,4.4
101120410,2015-7-19,30,2.2
101120410,2015-7-20,30.1,1.9
101120410,2015-7-21,30.7,2.1
101120410,2015-7-22,30.4,4.3
101120410,2015-7-23,30.1,3.4
101120410,2015-7-24,29.7,2.5
101120410,2015-7-25,29.2,4.9
101120410,2015-7-26,29.2,1.6
101120410,2015-7-27,27.6,16.5
101251213,2015-6-18,22.5,34
101251213,2015-6-19,21.1,20.9
101251213,2015-6-20,21.3,20.5
101251213,2015-6-21,20.2,21.1
101251213,2015-6-22,20.6,4.2
101251213,2015-6-23,21.7,9.5
101251213,2015-6-24,22.6,9.3
101251213,2015-6-25,23.8,9.5
101251213,2015-6-26,24.4,6.8
101251213,2015-6-27,24.9,6.8
101251213,2015-6-28,25.1,6
101251213,2015-6-29,25.2,4.5
101251213,2015-6-30,25.5,3.2
101251213,2015-7-1,25.7,3.3
101251213,2015-7-2,25.7,5.3
101251213,2015-7-3,25.7,6.4
101251213,2015-7-4,25.4,6.4
101251213,2015-7-5,25.2,7.5
101251213,2015-7-6,25.3,8
101251213,2015-7-7,25,8.4
101251213,2015-7-8,24.7,6.8
101251213,2015-7-9,24.9,5.5
101251213,2015-7-10,24.6,11.6
101251213,2015-7-11,24.1,9.2
101251213,2015-7-12,24.4,7.6
101251213,2015-7-13,24.6,8.7
101251213,2015-7-14,24.5,4.9
101251213,2015-7-15,25,4.6
101251213,2015-7-16,25.3,4.2
101251213,2015-7-17,25.3,4.9
101251213,2015-7-18,25.4,4.8
101251213,2015-7-19,25.5,4.6
101251213,2015-7-20,25.5,5.9
101251213,2015-7-21,25.5,4.9
101251213,2015-7-22,25.4,2.8
101251213,2015-7-23,25.8,2.3
101251213,2015-7-24,25.6,6.6
101251213,2015-7-25,25.3,10.4
101251213,2015-7-26,24.8,6.3
101251213,2015-7-27,29.3,0
101210403,2015-6-18,20.5,23.2
101210403,2015-6-19,21.8,0
101210403,2015-6-20,22.9,0
101210403,2015-6-21,22.1,24.9
101210403,2015-6-22,21.1,7.9
101210403,2015-6-23,21.3,0
101210403,2015-6-24,22.1,3.4
101210403,2015-6-25,22.8,8.4
101210403,2015-6-26,23.4,13.7
101210403,2015-6-27,24,20.1
101210403,2015-6-28,23.8,10.8
101210403,2015-6-29,24.2,10.3
101210403,2015-6-30,25.1,10.4
101210403,2015-7-1,25.7,11.5
101210403,2015-7-2,26.3,10.3
101210403,2015-7-3,27,8.4
101210403,2015-7-4,26.8,13.9
101210403,2015-7-5,26.7,5.8
101210403,2015-7-6,26.7,5.6
101210403,2015-7-7,26.5,5.8
101210403,2015-7-8,26.4,11.3
101210403,2015-7-9,26.2,6.5
101210403,2015-7-10,26.6,5.9
101210403,2015-7-11,26.4,10.5
101210403,2015-7-12,26,6.1
101210403,2015-7-13,26.1,4.2
101210403,2015-7-14,26.4,6.8
101210403,2015-7-15,26.9,2.7
101210403,2015-7-16,27,2.7
101210403,2015-7-17,27.3,3.1
101210403,2015-7-18,27.4,3
101210403,2015-7-19,27.4,2.6
101210403,2015-7-20,27.4,3.9
101210403,2015-7-21,27.2,4.8
101210403,2015-7-22,27.2,1.9
101210403,2015-7-23,27.3,2
101210403,2015-7-24,27.2,5.5
101210403,2015-7-25,26.9,7.9
101210403,2015-7-26,26.6,9.6
101210403,2015-7-27,30.2,13
101191202,2015-6-18,22.6,0
101191202,2015-6-19,24.7,1.8
101191202,2015-6-20,24.4,0
101191202,2015-6-21,24.1,0
101191202,2015-6-22,23.8,0
101191202,2015-6-23,24.7,0
101191202,2015-6-24,24.7,0
101191202,2015-6-25,23.4,8.1
101191202,2015-6-26,22.5,17.5
101191202,2015-6-27,22.8,9.9
101191202,2015-6-28,23.1,3.1
101191202,2015-6-29,23.9,10.3
101191202,2015-6-30,23.8,15
101191202,2015-7-1,24.5,7.1
101191202,2015-7-2,25,17.5
101191202,2015-7-3,25.7,9.3
101191202,2015-7-4,26.1,7
101191202,2015-7-5,26.1,4.9
101191202,2015-7-6,26.5,5.7
101191202,2015-7-7,26.1,7.7
101191202,2015-7-8,25.8,5.7
101191202,2015-7-9,25.7,5.6
101191202,2015-7-10,25.5,15.6
101191202,2015-7-11,25.7,7.7
101191202,2015-7-12,25.6,6.9
101191202,2015-7-13,26,8.1
101191202,2015-7-14,26.5,5.8
101191202,2015-7-15,26.8,7.2
101191202,2015-7-16,27.1,5.4
101191202,2015-7-17,27.1,5.4
101191202,2015-7-18,27.4,7.6
101191202,2015-7-19,27.2,11.6
101191202,2015-7-20,27.2,6.9
101191202,2015-7-21,27.3,7.8
101191202,2015-7-22,27.5,4.8
101191202,2015-7-23,27.8,8.3
101191202,2015-7-24,27.1,7
101191202,2015-7-25,26.6,3.1
101191202,2015-7-26,26.4,4.8
101191202,2015-7-27,28.7,2
101281901,2015-6-18,27,0
101281901,2015-6-19,26.8,2.4
101281901,2015-6-20,26.5,4.3
101281901,2015-6-21,26,10.1
101281901,2015-6-22,25.9,9
101281901,2015-6-23,26.1,10.3
101281901,2015-6-24,26,15.9
101281901,2015-6-25,25.9,9.4
101281901,2015-6-26,26.2,4.5
101281901,2015-6-27,26.6,3.8
101281901,2015-6-28,26.7,4.3
101281901,2015-6-29,26.7,6.2
101281901,2015-6-30,26.7,5.6
101281901,2015-7-1,26.6,5.2
101281901,2015-7-2,26.7,5.1
101281901,2015-7-3,26.5,5.9
101281901,2015-7-4,26.3,9.7
101281901,2015-7-5,26.3,8.5
101281901,2015-7-6,26.3,10.6
101281901,2015-7-7,26.3,8.5
101281901,2015-7-8,26.3,7.6
101281901,2015-7-9,26.5,6.9
101281901,2015-7-10,26.3,10.5
101281901,2015-7-11,26.3,8.7
101281901,2015-7-12,26.3,8.3
101281901,2015-7-13,26.4,7.8
101281901,2015-7-14,26.2,7.1
101281901,2015-7-15,26.2,9.3
101281901,2015-7-16,26.3,6.1
101281901,2015-7-17,26.4,6.5
101281901,2015-7-18,26.5,4.9
101281901,2015-7-19,26.6,5
101281901,2015-7-20,26.7,4.1
101281901,2015-7-21,26.9,5.2
101281901,2015-7-22,26.7,7.5
101281901,2015-7-23,26.6,6.1
101281901,2015-7-24,26.6,7.8
101281901,2015-7-25,26.7,5.3
101281901,2015-7-26,26.7,5.3
101281901,2015-7-27,27.9,12.4
101120802,2015-6-18,24.8,1.4
101120802,2015-6-19,24.3,1.9
101120802,2015-6-20,24.3,0
101120802,2015-6-21,25.5,2.2
101120802,2015-6-22,26,2.4
101120802,2015-6-23,27,0
101120802,2015-6-24,27,0
101120802,2015-6-25,24.9,0
101120802,2015-6-26,23.3,1.1
101120802,2015-6-27,23.8,2.1
101120802,2015-6-28,24.7,1
101120802,2015-6-29,24.5,5.5
101120802,2015-6-30,24.3,7.5
101120802,2015-7-1,24.6,8.4
101120802,2015-7-2,25,4.7
101120802,2015-7-3,25.2,0
101120802,2015-7-4,25.9,3.3
101120802,2015-7-5,26.5,6.8
101120802,2015-7-6,26.6,3.8
101120802,2015-7-7,26.3,3.5
101120802,2015-7-8,26.8,2.2
101120802,2015-7-9,26.2,2.8
101120802,2015-7-10,25.9,5.2
101120802,2015-7-11,26.1,4.6
101120802,2015-7-12,26.1,4.7
101120802,2015-7-13,26.6,4
101120802,2015-7-14,27.3,2.4
101120802,2015-7-15,27.3,6.8
101120802,2015-7-16,26.9,4.7
101120802,2015-7-17,27.2,4.4
101120802,2015-7-18,26.9,11.8
101120802,2015-7-19,26.7,3.9
101120802,2015-7-20,27.4,3.7
101120802,2015-7-21,27.6,1.5
101120802,2015-7-22,27.6,6.1
101120802,2015-7-23,27.5,8
101120802,2015-7-24,26.9,7.3
101120802,2015-7-25,26.8,5.5
101120802,2015-7-26,26.6,4.8
101120802,2015-7-27,27.5,7.1
101050107,2015-6-18,24.3,1.4
101050107,2015-6-19,22.7,2
101050107,2015-6-20,22.7,0
101050107,2015-6-21,23.9,1.1
101050107,2015-6-22,21.8,0
101050107,2015-6-23,23.2,0
101050107,2015-6-24,25.7,2.3
101050107,2015-6-25,24.5,4.1
101050107,2015-6-26,23.9,2.5
101050107,2015-6-27,23.8,1.1
101050107,2015-6-28,24.2,1.9
101050107,2015-6-29,24.5,2.9
101050107,2015-6-30,24.7,2.8
101050107,2015-7-1,24.5,2.8
101050107,2015-7-2,23.5,6.2
101050107,2015-7-3,23.3,2.3
101050107,2015-7-4,24,4.8
101050107,2015-7-5,23.7,6.8
101050107,2015-7-6,23.2,6.7
101050107,2015-7-7,23.5,3.9
101050107,2015-7-8,23.4,3.3
101050107,2015-7-9,24.4,1.6
101050107,2015-7-10,24.6,2.4
101050107,2015-7-11,24.6,3.3
101050107,2015-7-12,24.5,2.2
101050107,2015-7-13,24.5,2.7
101050107,2015-7-14,25.3,2.5
101050107,2015-7-15,25.9,2.2
101050107,2015-7-16,25.8,3.1
101050107,2015-7-17,24.9,4.6
101050107,2015-7-18,24.7,2
101050107,2015-7-19,23.8,4.1
101050107,2015-7-20,23.8,6.2
101050107,2015-7-21,22.3,4.5
101050107,2015-7-22,22.9,3
101050107,2015-7-23,22.8,7.4
101050107,2015-7-24,23,9.1
101050107,2015-7-25,22.9,4.3
101050107,2015-7-26,22.9,5.8
101050107,2015-7-27,22.6,1.2
101210902,2015-6-18,20.1,38.5
101210902,2015-6-19,20.8,0
101210902,2015-6-20,22.2,0
101210902,2015-6-21,20.2,30.3
101210902,2015-6-22,19.5,6
101210902,2015-6-23,20.8,0
101210902,2015-6-24,21.1,5
101210902,2015-6-25,22.1,8.1
101210902,2015-6-26,23,10.4
101210902,2015-6-27,24.2,18.1
101210902,2015-6-28,23.8,11.8
101210902,2015-6-29,24.1,8.6
101210902,2015-6-30,25,8.6
101210902,2015-7-1,25.6,11
101210902,2015-7-2,26.1,14.7
101210902,2015-7-3,26.4,10.5
101210902,2015-7-4,26.2,14
101210902,2015-7-5,26,8.9
101210902,2015-7-6,25.6,9.9
101210902,2015-7-7,25.5,11.1
101210902,2015-7-8,25.5,17.5
101210902,2015-7-9,25,10.3
