areaid	FORECAST_TIME	day_rehumidity	night_rehumidity
101170501	2015-06-19 19:00:00	24	39
101170501	2015-06-20 19:00:00	46	61
101170501	2015-06-21 19:00:00	38	46
101170501	2015-06-22 19:00:00	40	61
101170501	2015-06-23 19:00:00	57	69
101170501	2015-06-24 19:00:00	51	57
101170501	2015-06-25 19:00:00	40	56
101170501	2015-06-26 19:00:00	39	53
101170501	2015-06-27 19:00:00	40	55
101170501	2015-06-28 19:00:00	39	48
101080607	2015-06-19 19:00:00	53	80
101080607	2015-06-20 19:00:00	42	61
101080607	2015-06-21 19:00:00	32	52
101080607	2015-06-22 19:00:00	33	61
101080607	2015-06-23 19:00:00	38	70
101080607	2015-06-24 19:00:00	44	69
101080607	2015-06-25 19:00:00	47	81
101080607	2015-06-26 19:00:00	54	76
101080607	2015-06-27 19:00:00	47	68
101080607	2015-06-28 19:00:00	44	64
101090104	2015-06-19 19:00:00	43	69
101090104	2015-06-20 19:00:00	40	49
101090104	2015-06-21 19:00:00	35	55
101090104	2015-06-22 19:00:00	42	57
101090104	2015-06-23 19:00:00	48	74
101090104	2015-06-24 19:00:00	58	75
101090104	2015-06-25 19:00:00	57	79
101090104	2015-06-26 19:00:00	63	80
101090104	2015-06-27 19:00:00	59	75
101090104	2015-06-28 19:00:00	56	72
101291501	2015-06-19 19:00:00	89	97
101291501	2015-06-20 19:00:00	89	96
101291501	2015-06-21 19:00:00	84	95
101291501	2015-06-22 19:00:00	87	96
101291501	2015-06-23 19:00:00	87	97
101291501	2015-06-24 19:00:00	90	96
101291501	2015-06-25 19:00:00	88	98
101291501	2015-06-26 19:00:00	93	99
101291501	2015-06-27 19:00:00	92	99
101291501	2015-06-28 19:00:00	96	100
101310222	2015-06-19 19:00:00	69	80
101310222	2015-06-20 19:00:00	71	79
101310222	2015-06-21 19:00:00	73	80
101310222	2015-06-22 19:00:00	75	81
101310222	2015-06-23 19:00:00	79	81
101310222	2015-06-24 19:00:00	75	78
101310222	2015-06-25 19:00:00	68	78
101310222	2015-06-26 19:00:00	68	78
101310222	2015-06-27 19:00:00	68	78
101310222	2015-06-28 19:00:00	68	77
101050107	2015-06-19 19:00:00	53	81
101050107	2015-06-20 19:00:00	49	72
101050107	2015-06-21 19:00:00	42	66
101050107	2015-06-22 19:00:00	47	73
101050107	2015-06-23 19:00:00	54	80
101050107	2015-06-24 19:00:00	56	84
101050107	2015-06-25 19:00:00	58	84
101050107	2015-06-26 19:00:00	55	80
101050107	2015-06-27 19:00:00	54	79
101050107	2015-06-28 19:00:00	54	78
101181403	2015-06-19 19:00:00	52	77
101181403	2015-06-20 19:00:00	51	64
101181403	2015-06-21 19:00:00	50	73
101181403	2015-06-22 19:00:00	51	75
101181403	2015-06-23 19:00:00	83	99
101181403	2015-06-24 19:00:00	90	99
101181403	2015-06-25 19:00:00	85	99
101181403	2015-06-26 19:00:00	78	95
101181403	2015-06-27 19:00:00	84	99
101181403	2015-06-28 19:00:00	82	98
101131307	2015-06-19 21:00:00	16	16
101131307	2015-06-20 21:00:00	12	20
101131307	2015-06-21 21:00:00	22	32
101131307	2015-06-22 21:00:00	28	33
101131307	2015-06-23 21:00:00	26	32
101131307	2015-06-24 21:00:00	39	48
101131307	2015-06-25 21:00:00	48	62
101131307	2015-06-26 21:00:00	56	61
101131307	2015-06-27 21:00:00	45	51
101131307	2015-06-28 21:00:00	33	38
101310211	2015-06-19 19:00:00	65	86
101310211	2015-06-20 19:00:00	71	86
101310211	2015-06-21 19:00:00	75	86
101310211	2015-06-22 19:00:00	75	88
101310211	2015-06-23 19:00:00	77	86
101310211	2015-06-24 19:00:00	76	81
101310211	2015-06-25 19:00:00	67	78
101310211	2015-06-26 19:00:00	65	80
101310211	2015-06-27 19:00:00	66	80
101310211	2015-06-28 19:00:00	63	78
101240403	2015-06-19 19:00:00	86	96
101240403	2015-06-20 19:00:00	83	95
101240403	2015-06-21 19:00:00	75	89
101240403	2015-06-22 19:00:00	73	92
101240403	2015-06-23 19:00:00	72	84
101240403	2015-06-24 19:00:00	73	88
101240403	2015-06-25 19:00:00	73	86
101240403	2015-06-26 19:00:00	73	84
101240403	2015-06-27 19:00:00	70	84
101240403	2015-06-28 19:00:00	73	88
101270801	2015-06-19 19:00:00	69	84
101270801	2015-06-20 19:00:00	83	88
101270801	2015-06-21 19:00:00	72	87
101270801	2015-06-22 19:00:00	71	81
101270801	2015-06-23 19:00:00	82	93
101270801	2015-06-24 19:00:00	89	93
101270801	2015-06-25 19:00:00	84	96
101270801	2015-06-26 19:00:00	84	94
101270801	2015-06-27 19:00:00	84	95
101270801	2015-06-28 19:00:00	87	96
101090605	2015-06-19 19:00:00	59	84
101090605	2015-06-20 19:00:00	43	64
101090605	2015-06-21 19:00:00	43	76
101090605	2015-06-22 19:00:00	43	71
101090605	2015-06-23 19:00:00	47	71
101090605	2015-06-24 19:00:00	56	84
101090605	2015-06-25 19:00:00	59	84
101090605	2015-06-26 19:00:00	62	83
101090605	2015-06-27 19:00:00	59	79
101090605	2015-06-28 19:00:00	52	73
101070603	2015-06-19 19:00:00	72	93
101070603	2015-06-20 19:00:00	69	94
101070603	2015-06-21 19:00:00	70	91
101070603	2015-06-22 19:00:00	66	94
101070603	2015-06-23 19:00:00	69	92
101070603	2015-06-24 19:00:00	64	85
101070603	2015-06-25 19:00:00	62	82
101070603	2015-06-26 19:00:00	60	82
101070603	2015-06-27 19:00:00	65	86
101070603	2015-06-28 19:00:00	66	86
101220301	2015-06-19 19:00:00	68	88
101220301	2015-06-20 19:00:00	69	87
101220301	2015-06-21 19:00:00	85	91
101220301	2015-06-22 19:00:00	82	93
101220301	2015-06-23 19:00:00	82	93
101220301	2015-06-24 19:00:00	81	96
101220301	2015-06-25 19:00:00	88	99
101220301	2015-06-26 19:00:00	90	98
101220301	2015-06-27 19:00:00	92	99
101220301	2015-06-28 19:00:00	95	98
101240408	2015-06-19 19:00:00	88	95
101240408	2015-06-20 19:00:00	82	94
101240408	2015-06-21 19:00:00	79	91
101240408	2015-06-22 19:00:00	77	93
101240408	2015-06-23 19:00:00	71	84
101240408	2015-06-24 19:00:00	71	86
101240408	2015-06-25 19:00:00	73	85
101240408	2015-06-26 19:00:00	75	85
101240408	2015-06-27 19:00:00	72	84
101240408	2015-06-28 19:00:00	75	88
101290505	2015-06-19 19:00:00	76	90
101290505	2015-06-20 19:00:00	73	87
101290505	2015-06-21 19:00:00	73	87
101290505	2015-06-22 19:00:00	79	89
101290505	2015-06-23 19:00:00	78	88
101290505	2015-06-24 19:00:00	76	88
101290505	2015-06-25 19:00:00	75	88
101290505	2015-06-26 19:00:00	78	89
101290505	2015-06-27 19:00:00	81	90
101290505	2015-06-28 19:00:00	81	89
101120105	2015-06-19 19:00:00	63	80
101120105	2015-06-20 19:00:00	47	65
101120105	2015-06-21 19:00:00	43	71
101120105	2015-06-22 19:00:00	47	68
101120105	2015-06-23 19:00:00	54	76
101120105	2015-06-24 19:00:00	59	85
101120105	2015-06-25 19:00:00	63	88
101120105	2015-06-26 19:00:00	67	87
101120105	2015-06-27 19:00:00	64	89
101120105	2015-06-28 19:00:00	60	82
101180105	2015-06-19 19:00:00	43	64
