longitude,latitude,soil_liquid
109.95,20.25,0.308
110.15,20.25,0.265
109.95,20.35,0.318
110.05,20.35,0.245
110.15,20.35,0.255
110.25,20.35,0.255
110.35,20.35,0.245
110.45,20.35,0.28
109.95,20.45,0.288
110.05,20.45,0.332
110.15,20.45,0.265
110.25,20.45,0.275
110.35,20.45,0.322
110.45,20.45,0.322
109.85,20.55,0.264
109.95,20.55,0.244
110.05,20.55,0.265
110.15,20.55,0.255
110.25,20.55,0.275
110.35,20.55,0.245
110.45,20.55,0.301
109.75,20.65,0.274
109.85,20.65,0.264
109.95,20.65,0.322
110.05,20.65,0.255
110.15,20.65,0.245
110.25,20.65,0.332
109.75,20.75,0.331
109.85,20.75,0.264
109.95,20.75,0.245
110.05,20.75,0.255
110.15,20.75,0.255
110.25,20.75,0.3
110.35,20.75,0.31
109.85,20.85,0.274
109.95,20.85,0.264
110.05,20.85,0.332
109.75,20.95,0.244
109.85,20.95,0.244
109.95,20.95,0.322
110.05,20.95,0.322
110.15,20.95,0.31
109.75,21.05,0.274
109.85,21.05,0.274
109.95,21.05,0.264
110.05,21.05,0.274
110.15,21.05,0.321
110.35,21.05,0.321
110.55,21.05,0.289
101.75,21.15,0.396
109.75,21.15,0.255
109.85,21.15,0.244
109.95,21.15,0.264
110.05,21.15,0.274
110.15,21.15,0.274
110.25,21.15,0.331
110.35,21.15,0.331
101.25,21.25,0.388
101.35,21.25,0.39
101.45,21.25,0.368
101.55,21.25,0.398
101.65,21.25,0.389
101.75,21.25,0.365
109.85,21.25,0.244
109.95,21.25,0.255
110.05,21.25,0.321
110.15,21.25,0.321
110.25,21.25,0.321
110.35,21.25,0.331
110.45,21.25,0.331
110.55,21.25,0.321
110.65,21.25,0.34
101.25,21.35,0.368
101.35,21.35,0.39
101.45,21.35,0.38
101.55,21.35,0.369
101.65,21.35,0.38
109.85,21.35,0.244
109.95,21.35,0.265
110.05,21.35,0.254
110.15,21.35,0.244
110.25,21.35,0.244
110.35,21.35,0.274
110.45,21.35,0.264
110.55,21.35,0.274
110.65,21.35,0.331
101.25,21.45,0.372
101.35,21.45,0.443
101.45,21.45,0.444
101.55,21.45,0.462
101.65,21.45,0.474
110.05,21.45,0.244
110.15,21.45,0.274
110.25,21.45,0.244
110.35,21.45,0.274
110.45,21.45,0.274
110.55,21.45,0.244
110.65,21.45,0.3
110.75,21.45,0.331
110.85,21.45,0.331
110.95,21.45,0.309
100.15,21.55,0.299
100.25,21.55,0.312
100.35,21.55,0.314
100.45,21.55,0.316
100.55,21.55,0.318
100.65,21.55,0.32
100.75,21.55,0.33
101.25,21.55,0.441
101.35,21.55,0.452
101.45,21.55,0.361
101.55,21.55,0.337
101.65,21.55,0.384
101.75,21.55,0.375
109.85,21.55,0.244
109.95,21.55,0.274
110.05,21.55,0.254
110.15,21.55,0.274
110.25,21.55,0.274
110.35,21.55,0.264
110.45,21.55,0.254
110.55,21.55,0.254
110.65,21.55,0.3
110.75,21.55,0.31
110.85,21.55,0.321
110.95,21.55,0.321
111.05,21.55,0.331
111.15,21.55,0.321
111.25,21.55,0.309
111.35,21.55,0.309
111.45,21.55,0.309
111.55,21.55,0.34
111.65,21.55,0.299
100.25,21.65,0.314
100.35,21.65,0.338
100.45,21.65,0.331
100.55,21.65,0.321
100.65,21.65,0.324
100.75,21.65,0.332
100.85,21.65,0.322
101.25,21.65,0.336
101.35,21.65,0.39
101.45,21.65,0.339
101.55,21.65,0.37
101.65,21.65,0.371
101.75,21.65,0.363
